Customer_ID,Customer_Name,Gender,Age,Nationality,Booking_ID,Booking_Date,Duration_of_Stay,Room_Type,Room_Rate,Additional_Room_Cost,Loyalty_Status,Booking_Channel,Economic_Index,Travel_Purpose,Group_Size,Competitor_ID,Competitor_Room_Rate,Competitor_Occupancy_Rate,Competitor_Promotions,Competitor_Name,Competitor_Rating,Competitor_Pricing_Strategy,Channel_Type,Local_Events,Cancellation
1,Julie Tucker,Female,70,Morocco,1,1/1/2012,7,Deluxe,1472.233337,483.2707411,No,Direct,4,Other,3,3,2506.045584,8.122,Seasonal Discount,Bahamas Luxury,2,Competitive,Online,Conference,No
2,William Allen,Male,23,Ghana,2,1/2/2012,5,Deluxe,1309.11994,673.9603438,No,Phone,5,Leisure,1,4,3283.436912,7.558,None,Oxford Road,2,Budget,Online,Concert,No
3,Miss Jennifer Alexander,Male,53,Morocco,3,1/3/2012,5,Single,1299.129395,808.3709122,No,Phone,1,Event,1,2,3836.23943,6.429,Event Special,Bahamas Luxury,5,Competitive,Agent,Festival,No
4,Mark Williams,Male,48,Morocco,4,1/4/2012,10,Deluxe,500,943.5169024,Yes,Direct,3,Event,2,1,2240.567399,6.748,Seasonal Discount,Blue Roof Hotel,5,Budget,Online,Concert,No
5,Sarah Taylor,Male,70,Egypt,5,1/5/2012,2,Single,1175.940565,696.5373759,No,Event,4,Leisure,1,1,3904.480286,7.044,Loyalty Offer,Luxury Stay,3,Competitive,Third-party,Sports Event,No
6,Heather Brown,Male,70,Ghana,6,1/6/2012,5,Single,1700.583816,998.0891252,Yes,Event,1,Leisure,3,1,4224.720778,7.509,Loyalty Offer,Luxury Stay,2,Budget,Direct,Conference,No
7,Tiffany Baker,Male,27,Egypt,7,1/7/2012,5,Double,550.7980268,361.7455656,No,Walk-In,5,Leisure,2,4,1356.412934,9.048,Loyalty Offer,Bahamas Luxury,3,Competitive,Online,Concert,No
8,Cassidy Mcguire,Male,67,Uganda,8,1/8/2012,7,Deluxe,1266.961424,300,No,Direct,1,Other,1,4,1396.633801,6.119,Loyalty Offer,Luxury Stay,3,Competitive,Third-party,Sports Event,Yes
9,Dylan Johnson,Male,69,Zimbabwe,9,1/9/2012,10,Single,711.8713863,785.9331342,No,Direct,2,Other,2,2,3621.618259,9.462,Event Special,Bahamas Luxury,2,Competitive,Online,Concert,No
10,Connie Peterson,Male,35,Egypt,10,1/10/2012,3,Single,810.1954753,874.6168516,No,Walk-In,5,Event,2,4,1535.948034,5.566,Seasonal Discount,Bahamas Luxury,3,Premium,Agent,None,No
11,Rachel Scott,Male,47,Tanzania,11,1/11/2012,3,Deluxe,1240.512025,1279.176716,No,Walk-In,2,Leisure,2,1,3354.709728,5.638,Loyalty Offer,Oxford Road,4,Premium,Direct,Conference,No
12,James Rivas,Male,29,Morocco,12,1/12/2012,4,Deluxe,978.3299665,948.7857871,No,Online Travel Agency,3,Other,2,4,3388.791407,5.953,Loyalty Offer,Luxury Stay,4,Budget,Online,Festival,No
13,Derrick Pennington,Male,52,Morocco,13,1/13/2012,3,Suite,1382.699623,577.7536391,No,Phone,5,Other,4,2,1720.36074,5.808,Seasonal Discount,Luxury Stay,2,Competitive,Third-party,None,Yes
14,Terry Miller,Male,61,Zimbabwe,14,1/14/2012,3,Deluxe,1431.592194,534.8106988,No,Direct,5,Leisure,2,4,997.9253102,8.774,Event Special,Bahamas Luxury,5,Budget,Agent,None,No
15,Lonnie Malone,Male,61,Nigeria,15,1/15/2012,5,Suite,1403.85644,1037.231634,No,Online Travel Agency,4,Business,1,1,3560.005052,6.643,Event Special,Blue Roof Hotel,2,Competitive,Direct,Festival,No
16,Michael Christensen,Male,51,Nigeria,16,1/16/2012,7,Deluxe,601.4559663,984.4632877,Yes,Online Travel Agency,3,Leisure,1,3,1703.895034,6.311,None,Bahamas Luxury,1,Budget,Agent,Concert,No
17,Cory Harris,Male,46,Nigeria,17,1/17/2012,10,Double,1740.36483,611.1864363,No,Event,3,Business,1,4,3874.205794,6.792,Event Special,Oxford Road,4,Budget,Third-party,Conference,No
18,Katie Robles,Male,40,Algeria,18,1/18/2012,14,Suite,1183.66491,504.4275467,No,Direct,1,Other,2,2,978.1522465,5.992,None,Blue Roof Hotel,1,Premium,Direct,None,No
19,Charles Holland,Male,43,Tanzania,19,1/19/2012,5,Single,1071.524804,737.3713786,Yes,Direct,5,Event,2,4,3032.358989,9.084,Event Special,Blue Roof Hotel,1,Competitive,Agent,None,No
20,Robert Davenport,Female,45,Algeria,20,1/20/2012,3,Single,1159.378352,1054.625922,No,Phone,4,Event,1,1,3874.719703,7.943,Seasonal Discount,Luxury Stay,1,Competitive,Online,Sports Event,No
21,Aaron Rodriguez,Male,35,Zimbabwe,21,1/21/2012,3,Deluxe,1331.626077,964.5374751,No,Phone,3,Other,2,4,1497.224102,6.398,Loyalty Offer,Luxury Stay,1,Premium,Third-party,Concert,No
22,Robert Pollard,Male,51,Tanzania,22,1/22/2012,4,Suite,1499.362626,831.8515002,Yes,Event,5,Other,1,4,898.2918527,9.998,Event Special,Oxford Road,5,Budget,Third-party,None,Yes
23,Sara Miller,Male,51,Egypt,23,1/23/2012,14,Single,994.5848732,813.1446507,No,Online Travel Agency,2,Event,2,3,1958.984761,9.596,Seasonal Discount,Blue Roof Hotel,2,Competitive,Direct,Conference,No
24,Zachary Rodriguez,Male,70,Tanzania,24,1/24/2012,1,Single,977.9408494,881.2084657,Yes,Online Travel Agency,4,Leisure,2,2,4396.625538,8.458,Seasonal Discount,Bahamas Luxury,3,Competitive,Direct,None,No
25,April Jones,Female,43,Nigeria,25,1/25/2012,14,Double,973.846291,1044.278361,Yes,Online Travel Agency,5,Leisure,5,4,3076.094272,6.469,Event Special,Oxford Road,2,Premium,Direct,Conference,No
26,Adam Lara,Male,38,Ghana,26,1/26/2012,3,Double,500,1085.637453,No,Online Travel Agency,1,Leisure,1,3,1623.109703,5.174,Seasonal Discount,Luxury Stay,5,Premium,Online,Conference,No
27,Marcus Carpenter,Male,25,Nigeria,27,1/27/2012,2,Suite,1276.316636,824.7298038,Yes,Event,5,Business,2,1,4462.493254,7.611,None,Blue Roof Hotel,4,Premium,Direct,None,No
28,Jamie Kelley MD,Male,18,Zimbabwe,28,1/28/2012,4,Single,500,525.7576622,Yes,Event,1,Other,1,3,2609.2113,8.863,Event Special,Luxury Stay,5,Budget,Third-party,Conference,Yes
29,Hunter Williams,Female,30,Morocco,29,1/29/2012,10,Double,1309.671551,1084.62942,No,Walk-In,5,Leisure,1,3,1562.069862,6.633,None,Blue Roof Hotel,4,Competitive,Agent,Festival,No
30,Mindy Medina MD,Male,67,Egypt,30,1/30/2012,1,Deluxe,1531.181851,835.2320278,No,Walk-In,5,Leisure,5,4,3989.081307,9.359,None,Luxury Stay,1,Competitive,Direct,Conference,No
31,Keith Moon,Male,25,South Africa,31,1/31/2012,7,Suite,1587.756849,1381.423885,Yes,Event,3,Leisure,5,4,3254.682337,8.894,Event Special,Bahamas Luxury,5,Budget,Agent,None,No
